CMDLINE python3 python_programs/Canonical_solutions/maximum_running_time_of_n_computers.py
MEM 0.250000 1745203085.2348
MEM 6.656250 1745203085.2623
MEM 10.625000 1745203085.2886
MEM 10.625000 1745203085.3141
MEM 10.625000 1745203085.3391
MEM 10.625000 1745203085.3658
MEM 11.750000 1745203085.3866
