CMDLINE python3 python_programs/Gemini/split_array_largest_sum.py
MEM 0.234375 1745213942.6521
MEM 1.453125 1745213942.6534
MEM 5.062500 1745213942.6547
MEM 6.515625 1745213942.6560
MEM 7.203125 1745213942.6573
MEM 7.859375 1745213942.6586
MEM 8.250000 1745213942.6599
MEM 8.296875 1745213942.6611
MEM 9.609375 1745213942.6624
MEM 9.765625 1745213942.6637
