CMDLINE python3 python_programs/Gemini/maximum_xor_product.py
MEM 0.218750 1745213939.9398
MEM 1.453125 1745213939.9411
MEM 4.906250 1745213939.9424
MEM 6.515625 1745213939.9437
MEM 7.187500 1745213939.9450
MEM 7.859375 1745213939.9463
MEM 8.250000 1745213939.9476
MEM 8.296875 1745213939.9488
MEM 8.671875 1745213939.9501
MEM 9.375000 1745213939.9514
MEM 9.609375 1745213939.9527
MEM 9.625000 1745213939.9539
