CMDLINE python3 python_programs/Gemini/super_washing_machines.py
MEM 0.234375 1745213943.1003
MEM 1.453125 1745213943.1016
MEM 5.109375 1745213943.1029
MEM 6.515625 1745213943.1042
MEM 7.187500 1745213943.1055
MEM 7.859375 1745213943.1068
MEM 8.250000 1745213943.1081
MEM 8.296875 1745213943.1093
MEM 8.921875 1745213943.1106
MEM 9.843750 1745213943.1119
