CMDLINE python3 python_programs/Gemini/smallest_range_covering_elements_from_k_lists.py
MEM 0.218750 1745213942.2064
MEM 1.453125 1745213942.2077
MEM 4.890625 1745213942.2091
MEM 6.515625 1745213942.2103
MEM 7.218750 1745213942.2116
MEM 7.828125 1745213942.2129
MEM 8.343750 1745213942.2142
MEM 8.484375 1745213942.2155
MEM 9.468750 1745213942.2167
MEM 10.890625 1745213942.2180
MEM 11.515625 1745213942.2193
MEM 11.515625 1745213942.2206
