CMDLINE python3 python_programs/Gemini/stamping_the_grid.py
MEM 0.234375 1745213942.8729
MEM 1.453125 1745213942.8742
MEM 5.062500 1745213942.8755
MEM 6.515625 1745213942.8768
MEM 7.296875 1745213942.8781
MEM 8.046875 1745213942.8794
MEM 8.390625 1745213942.8807
MEM 8.484375 1745213942.8819
MEM 9.453125 1745213942.8832
MEM 10.890625 1745213942.8845
MEM 12.656250 1745213942.8858
MEM 13.343750 1745213942.8871
MEM 13.359375 1745213942.8883
